"count","institution","collection","collection_link"
1749,"University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium","Bryophytes","https://www.idigbio.org/portal/collections/1d637ffd-d261-4f42-b60b-3765757756bc"
1778,"Snow College","Herbarium","https://www.idigbio.org/portal/collections/c77724dd-5fec-4554-97e6-db48dd282d45"
1804,"Worcester Museum of Natural History d.b.a. EcoTarium","Natural History","https://www.idigbio.org/portal/collections/db8c793d-75f3-4663-b3db-2d2f6a79f5db"
1944,"Gila National Forest","Herbarium","https://www.idigbio.org/portal/collections/3edc8781-9419-485f-9154-19a4111ae013"
1948,"University of California Santa Barbara, Cheadle Center for Biodiversity and Ecological Restoration","Mammalogy","https://www.idigbio.org/portal/collections/c9e63a30-72e0-4607-bdbb-a71fccfe9592"
1979,"Ohio State University, Museum of Biological Diversity","Invertebrates","https://www.idigbio.org/portal/collections/d83eea3c-f0ac-4e95-89f5-7e2445a7a997"
1987,"Northern Michigan University","Mammals","https://www.idigbio.org/portal/collections/3d30f290-66a9-4ad8-a003-6c7bb79a9e5e"
2014,"University of Minnesota Insect Collection","Insects","https://www.idigbio.org/portal/collections/c06aa621-5bec-4cd7-9b0e-de159308e2e8"
2021,"Bandelier National Monument","Herbarium","https://www.idigbio.org/portal/collections/182b40fc-9199-4652-b340-72e79ca7b147"
2052,"Angelo State University, Angelo State Natural History Collections","Ornithology","https://www.idigbio.org/portal/collections/d4a32def-975d-459f-8612-1de5ee2824ed"
2086,"Museum of Cultural and Natural History","Amphibians","https://www.idigbio.org/portal/collections/2c987b7b-6b77-4871-afb6-e2feddfcab05"
2090,"Abilene Christian University","Mammals","https://www.idigbio.org/portal/collections/ba0685b3-de8a-444d-97c3-69d5b75c3ff0"
2091,"Southwestern Research Station of the American Museum of Natural History","Herbarium","https://www.idigbio.org/portal/collections/32eb5f3e-5104-426e-9d53-136e859e72ea"
2124,"Tarleton State University, Biological Sciences Department","Herbarium","https://www.idigbio.org/portal/collections/ff9fbeae-0f34-4746-b7eb-76f0df353bfc"
2185,"Michigan State University Museum","Vertebrate Paleontology","https://www.idigbio.org/portal/collections/c3dad9e0-0833-44be-b3de-91b6bdaf5ef9"
2304,"Coconino National Forest","Herbarium","https://www.idigbio.org/portal/collections/bbe292bc-34ed-4461-8b9e-9eb3782603e0"
2336,"University of Richmond","Herbarium","https://www.idigbio.org/portal/collections/b50e0a4c-d5f5-4d6b-af27-a0c22b394f16"
2376,"Ohio State University, Museum of Biological Diversity","Mollusks","https://www.idigbio.org/portal/collections/528fcfac-c86b-493e-80b8-5fda249f638c"
2392,"Ohio State University, Museum of Biological Diversity","Tetrapods, Reptiles","https://www.idigbio.org/portal/collections/12e7f46f-6e94-4cba-a7de-ef4cd905777f"
2398,"University of Alabama Herbarium","Herbarium","https://www.idigbio.org/portal/collections/583d5616-49bd-4a3e-bbe0-011cd048e19b"
2412,"Ohio University","Invertebrate Paleontology","https://www.idigbio.org/portal/collections/83a1a32c-8e39-4c3a-ae98-8794ca2196fe"
2440,"Santa Barbara Museum of Natural History","Herpetology","https://www.idigbio.org/portal/collections/f200fe1b-a752-4165-b036-aece4133366d"
2470,"Bureau of Land Management, Las Cruces District Office","Herbarium","https://www.idigbio.org/portal/collections/8a14fbc3-e309-480b-91c8-ac26acc7ff52"
2473,"University of Central Oklahoma Natural History Museum","Fungi and Lichens","https://www.idigbio.org/portal/collections/d21d1226-e8d5-45b9-be69-ee26fb266e57"
2636,"Cornell College","Herbarium","https://www.idigbio.org/portal/collections/40fec496-9d5d-4a43-bc55-fef35827cfc8"
2681,"North Carolina Zoological Park","Herbarium","https://www.idigbio.org/portal/collections/ddb8f62c-6d4a-4648-9459-3cc5003c01d4"
2687,"University of Maine Herbarium","Mosses","https://www.idigbio.org/portal/collections/53cf4311-b8ec-4f38-bd00-09e8228c28b6"
2743,"University of Illinois, Illinois Natural History Survey","Bryophytes","https://www.idigbio.org/portal/collections/7fffd102-fe3b-11e4-ac7a-002315492bbc"
2783,"Emporia State University, Richard H. Schmidt Museum of Natural History","Birds and Mammals","https://www.idigbio.org/portal/collections/5b54d7f5-05ec-4f1f-b024-5c703af1b52e"
2790,"University of Arkansas","Herbarium","https://www.idigbio.org/portal/collections/a33083e8-a237-4731-83a7-2b7ea78eef8d"
2813,"University of Texas at Austin, The Culture Collection of Algae","Algae culture","https://www.idigbio.org/portal/collections/9b16b878-b986-4fb6-8306-7a6863a2ccca"
2829,"Mote Marine Laboratory","Herbarium","https://www.idigbio.org/portal/collections/c00d62e8-d47b-4951-8f97-8d6d5107e3e8"
2832,"Catalina Island Conservancy","Herbarium","https://www.idigbio.org/portal/collections/9bbafd74-4ffc-4dfb-94e5-b71b93ac9b2a"
2911,"Buffalo Museum of Science","Ornithology","https://www.idigbio.org/portal/collections/fb8ccdf4-0a03-4687-94b9-f2d912e43c1c"
3003,"University of Wyoming, Wilhelm G. Solheim Mycological Herbarium","Herbarium","https://www.idigbio.org/portal/collections/92cf801a-0f66-43a2-9c46-ba285ed0c3bc"
3057,"University of Texas at El Paso Biodiversity Collections","Birds","https://www.idigbio.org/portal/collections/76cf3efc-f7fa-471c-ab23-e53ac2c6852f"
3120,"Chicago Academy of Sciences","Oology","https://www.idigbio.org/portal/collections/1baa47b8-171a-41e5-909e-705b18453a6a"
3167,"Colorado Mesa University, Walter A. Kelley Herbarium","Herbarium","https://www.idigbio.org/portal/collections/b21d66d7-a691-4d68-8140-04c0516f72ac"
3207,"University of Arkansas, University Museum","Herpetology","https://www.idigbio.org/portal/collections/4f2ad6fc-8ef2-48b1-9d99-76b82f65302b"
3240,"Milwaukee Public Museum","Botany","https://www.idigbio.org/portal/collections/946fdb33-cb25-4411-8195-a4decb63963b"
3257,"Craters of the Moon National Monument","Herbarium","https://www.idigbio.org/portal/collections/c28dc8a5-eb3b-4abf-ba7a-ea9c62204534"
